,Q1A,Q2A,Q3A,Q4A,Q5A,Q6A,Q7A,Q8A,Q9A,Q10A,Q11A,Q12A,Q13A,Q14A,Q15A,Q16A,Q17A,Q18A,Q19A,Q20A,Cluster
36167,4,3,2,4,2,1,1,1,2,4,1,3,1,1,5,2,1,5,5,1,4
46593,3,3,2,4,5,4,1,1,4,3,2,2,4,2,5,4,5,5,5,5,4
47982,1,2,2,5,5,1,2,2,5,5,1,5,4,1,4,1,1,5,5,3,4
49916,4,3,3,3,3,3,3,3,4,3,3,5,2,3,4,2,2,2,5,3,1
43898,5,4,1,2,4,2,1,5,2,2,3,5,4,1,5,1,4,5,5,3,3
22767,5,5,1,1,5,1,4,5,1,5,1,5,5,1,5,2,1,1,5,2,3
44837,5,2,4,5,4,4,3,5,5,4,2,4,5,4,4,2,5,4,5,3,1
58095,4,5,4,1,5,1,1,2,5,1,1,5,5,1,5,2,1,5,1,1,3
10969,4,1,1,5,1,1,1,1,5,5,1,3,1,1,5,3,3,5,5,1,4
53591,5,4,5,1,4,1,4,4,4,5,3,5,2,1,5,2,2,4,3,3,4
1246,2,3,4,3,4,3,4,4,5,4,1,2,1,2,4,2,2,4,3,3,1
10179,4,2,2,4,2,4,2,5,5,4,2,5,1,1,4,1,1,4,5,1,4
4735,5,2,1,1,4,1,1,4,2,3,1,4,4,1,4,1,3,5,5,1,3
24759,1,2,5,4,3,3,1,3,5,5,1,3,1,3,1,4,1,4,5,1,1
26519,4,5,2,3,4,1,1,4,3,2,1,5,5,2,4,1,2,4,5,4,3
32810,5,1,3,2,4,2,2,2,5,5,2,5,4,1,3,1,2,4,5,3,4
48598,1,3,5,4,4,5,5,1,5,5,2,4,1,1,2,4,3,1,5,1,2
2107,3,3,4,3,4,2,2,4,4,2,1,4,2,2,3,1,4,5,4,2,3
23742,5,4,2,2,5,1,1,4,1,1,1,5,4,1,4,1,1,5,5,3,3
53351,1,4,4,2,2,5,5,2,5,3,1,3,1,2,4,4,2,1,5,2,4
53168,1,1,1,5,3,1,1,2,5,3,3,4,1,4,3,1,4,4,4,1,2
72023,4,5,1,2,4,1,1,4,4,2,2,5,4,1,4,1,1,5,5,5,3
67744,2,4,5,1,5,1,1,5,2,3,1,3,2,1,4,1,1,5,3,1,4
60709,1,4,2,5,2,2,2,2,5,4,3,1,1,4,3,4,2,2,2,3,2
50790,4,5,5,5,5,3,2,5,5,3,1,4,1,2,4,4,4,4,5,5,4
73386,5,5,1,3,5,2,1,5,5,1,1,5,1,1,5,5,1,1,1,5,3
7823,1,1,4,1,5,5,2,3,5,5,5,5,1,1,1,5,5,1,1,1,1
21969,1,1,5,2,4,5,5,1,5,5,2,4,1,3,2,2,1,1,2,1,2
45088,4,4,2,4,5,2,1,5,2,2,1,5,4,1,3,2,1,4,5,3,3
35656,2,3,3,3,2,2,1,2,4,3,3,3,2,2,2,3,2,4,5,1,4
58477,5,4,4,5,1,2,1,1,5,2,2,5,2,4,4,4,1,5,5,1,4
46577,4,2,2,2,3,5,4,4,5,5,4,1,2,2,1,2,2,4,1,5,1
45729,1,1,2,5,2,3,2,1,5,5,1,1,1,5,1,1,3,2,4,2,2
33020,5,5,2,3,5,2,1,5,2,1,1,4,4,2,5,4,3,5,5,3,4
50033,5,5,1,2,5,1,1,5,2,1,1,5,5,1,2,1,1,5,5,5,3
32580,5,5,1,1,5,1,1,5,5,1,1,5,5,1,1,1,1,5,5,4,4
54589,3,1,4,5,2,5,4,2,5,5,2,2,1,2,3,2,2,2,3,1,2
9887,3,4,2,4,4,3,1,4,2,2,2,2,3,2,4,3,2,4,5,5,4
12265,4,3,1,1,5,1,1,4,2,1,1,5,4,2,4,1,2,2,5,4,3
32235,2,2,3,4,4,4,3,2,5,4,3,3,5,3,3,2,2,5,5,1,1
59346,4,3,2,1,4,1,1,2,3,5,1,4,4,1,4,1,5,4,5,1,3
13468,1,1,1,4,2,1,1,2,5,4,2,3,4,4,2,1,4,2,5,2,2
11081,1,2,2,5,5,2,1,2,5,4,1,5,1,1,5,1,1,5,5,1,4
67246,4,5,5,5,3,5,2,5,3,5,2,4,2,3,4,4,2,2,3,3,1
7815,1,2,2,5,1,4,5,1,5,1,2,1,1,5,1,5,2,1,1,1,2
10700,4,4,2,1,5,1,1,5,3,1,2,1,4,2,4,5,1,3,4,1,4
45754,4,4,3,4,2,4,1,4,4,2,3,4,2,1,3,2,3,3,5,4,4
1422,5,4,2,3,4,1,2,5,3,1,1,5,5,1,4,1,5,4,5,4,3
36849,1,4,4,4,4,4,4,1,5,5,3,4,1,2,4,4,2,3,5,1,2
28940,1,1,5,5,1,3,5,1,5,5,2,3,1,5,1,5,3,2,4,1,2
52243,1,2,1,3,3,1,1,2,5,2,3,4,1,2,1,4,2,2,5,1,4
28213,4,5,3,1,5,1,2,5,1,2,1,5,5,2,4,2,1,5,5,5,3
61324,3,4,1,3,2,1,1,3,4,2,2,2,3,3,5,2,4,4,5,3,4
65151,2,1,2,1,2,1,1,2,5,3,3,4,5,3,1,1,4,4,4,1,4
15612,5,5,1,1,5,2,1,5,1,1,1,5,5,1,5,2,1,5,5,5,3
70245,3,4,1,5,4,4,1,4,5,5,3,2,2,1,4,2,1,4,5,5,4
27180,1,2,4,5,2,5,5,1,5,5,4,1,5,4,4,5,3,1,3,4,2
69475,4,3,2,4,2,2,1,1,5,4,2,2,1,2,4,2,4,5,5,2,4
52853,2,3,2,5,4,1,1,2,5,5,1,2,5,3,3,5,3,3,5,5,1
5775,5,5,1,4,5,1,1,5,1,2,1,4,4,1,4,3,1,5,5,5,3
39634,4,5,1,1,5,1,1,5,1,1,1,4,3,1,5,1,5,5,5,3,3
47457,5,5,1,1,5,2,1,4,3,1,1,5,5,2,5,1,1,4,5,4,3
42041,5,5,1,1,5,3,2,4,2,1,1,5,5,1,5,4,1,4,3,5,3
49664,4,2,2,4,4,1,1,5,4,1,1,5,4,4,3,1,1,4,5,1,3
18845,5,1,5,1,5,5,5,1,5,5,5,1,5,1,3,1,5,5,1,5,1
12757,5,3,3,3,5,3,2,5,4,3,2,5,1,3,3,2,1,5,5,3,4
26514,4,2,1,5,3,1,1,4,2,1,1,4,4,1,5,1,1,4,5,3,4
37057,5,5,1,1,5,1,1,5,5,5,1,5,5,1,1,1,1,5,5,1,4
66031,1,1,5,5,1,5,5,1,5,5,5,1,1,5,1,5,5,1,1,1,2
43392,1,4,5,3,3,4,2,2,5,5,1,4,1,3,4,4,5,2,5,3,1
14804,1,2,4,3,3,4,1,1,5,5,2,1,1,3,3,1,5,3,5,5,2
24389,4,5,5,4,2,3,2,2,5,5,2,2,1,2,3,4,5,4,5,3,2
12840,5,3,4,1,1,3,3,5,5,5,1,5,1,3,1,2,1,5,5,1,4
32785,1,3,2,4,1,2,2,1,4,4,1,1,2,3,3,3,2,2,1,1,2
18396,1,2,3,2,5,5,4,2,5,4,2,2,4,3,5,2,4,2,5,1,2
69221,4,1,3,5,1,4,3,1,5,5,3,4,1,4,4,4,3,2,3,1,2
64974,5,1,1,5,3,5,4,5,3,5,3,2,5,1,1,1,1,5,5,5,1
11861,2,1,1,4,2,2,2,1,5,2,1,2,1,4,4,5,1,1,5,1,2
55910,2,4,3,3,2,4,1,2,5,3,4,1,5,1,4,5,1,1,4,3,4
43066,2,2,3,3,4,5,5,4,5,3,2,4,3,3,4,4,3,1,4,3,2
65252,4,5,3,4,5,4,3,4,2,5,1,4,5,3,5,2,2,4,5,3,4
14315,1,4,2,2,2,1,1,4,4,2,2,4,1,2,5,4,2,4,5,1,4
39801,4,3,1,4,4,2,4,5,4,2,2,5,5,1,3,2,1,5,5,5,3
12622,2,1,2,2,4,4,4,4,4,4,3,5,3,2,2,1,1,2,5,3,1
45759,5,1,5,4,4,5,5,4,5,3,1,5,1,1,2,5,2,4,2,5,1
