,Q1A,Q2A,Q3A,Q4A,Q5A,Q6A,Q7A,Q8A,Q9A,Q10A,Q11A,Q12A,Q13A,Q14A,Q15A,Q16A,Q17A,Q18A,Q19A,Q20A,Cluster
11788,4,2,1,4,4,2,3,2,5,4,3,3,4,2,3,3,3,2,4,2,4
11789,5,4,3,3,5,3,2,1,3,5,1,5,5,1,3,1,1,5,5,5,2
11790,4,3,5,2,2,1,2,4,5,1,1,4,5,1,4,1,1,5,5,1,1
11791,4,4,1,2,4,1,2,5,1,3,1,5,4,2,3,1,5,2,4,4,1
11792,5,5,4,1,4,1,1,5,2,3,1,5,4,1,5,4,1,5,5,3,1
11793,3,4,4,2,4,4,1,4,4,5,1,5,2,1,2,2,2,2,3,4,4
11794,2,2,2,2,4,1,1,4,3,2,1,5,3,4,4,1,2,5,5,2,2
11795,4,2,2,4,2,1,1,1,5,4,1,1,4,2,4,1,2,5,5,1,4
11796,3,4,3,1,5,1,1,1,4,3,1,5,1,2,4,1,1,5,5,1,4
11797,2,1,3,4,1,4,2,1,5,5,1,4,1,1,5,4,5,4,5,1,3
11798,2,1,2,3,5,1,1,2,5,4,1,5,4,2,1,1,4,4,5,1,4
11799,1,1,1,3,4,1,3,1,5,5,3,2,2,1,1,1,5,1,5,1,3
11800,1,1,1,5,4,3,1,1,5,5,1,1,1,3,2,1,1,2,4,1,3
11801,3,2,2,4,3,1,3,4,4,4,1,2,2,2,2,1,3,4,3,2,4
11802,1,2,5,2,4,5,4,4,5,5,4,5,1,2,2,2,2,2,4,4,4
11803,2,5,2,5,4,1,2,5,5,5,1,5,4,2,3,3,1,2,5,1,2
11804,4,5,4,4,5,3,2,4,5,3,4,4,2,2,5,2,3,2,5,4,2
11805,3,1,1,4,5,1,1,2,2,5,1,5,1,5,1,5,1,4,3,1,4
11806,1,4,5,1,3,4,4,4,5,5,2,2,4,1,2,1,5,1,2,3,4
11807,2,4,2,4,2,1,1,2,5,2,1,1,4,3,4,2,2,4,3,2,3
11808,4,5,2,2,5,2,2,4,3,1,1,4,2,2,5,3,5,2,5,3,1
11809,1,1,4,3,2,2,4,4,5,5,1,1,1,1,2,1,4,1,5,1,3
11810,4,2,1,2,3,1,2,2,1,3,2,4,4,2,3,1,1,4,5,1,2
11811,5,1,4,3,4,4,3,4,4,3,2,3,3,2,3,4,2,5,4,2,4
11812,1,1,1,2,2,2,2,1,5,5,1,2,2,2,1,2,1,2,1,1,3
11813,4,3,4,3,4,1,1,4,5,2,1,4,4,2,2,1,2,4,4,4,1
11814,1,1,1,5,4,5,4,1,5,4,4,1,1,3,1,5,1,5,4,1,3
11815,5,1,5,5,5,2,2,1,5,5,3,4,1,5,1,1,5,1,5,1,3
11816,4,5,1,2,2,2,2,5,5,4,1,5,5,2,5,1,1,5,5,1,2
11817,4,4,1,2,5,1,1,4,2,2,1,5,4,1,2,1,1,5,5,5,1
11818,1,5,2,3,5,5,3,5,5,5,1,5,2,1,5,1,1,4,4,2,2
11819,3,2,3,3,3,2,2,4,4,4,2,5,4,2,4,1,2,4,4,2,2
11820,2,4,2,2,5,2,2,4,5,2,2,5,3,4,4,2,1,1,1,1,4
11821,4,4,3,5,4,3,5,4,5,5,1,3,3,4,1,5,2,5,4,2,4
11822,4,2,3,4,4,4,4,2,5,5,1,2,1,4,3,4,2,4,5,1,4
11823,1,3,4,4,1,2,1,4,5,5,3,3,5,3,1,4,4,3,4,2,3
11824,5,5,1,1,5,1,1,4,2,1,1,5,5,4,4,1,1,5,5,4,1
11825,5,5,5,2,5,1,1,3,1,1,2,5,5,1,5,1,1,5,5,1,1
11826,5,5,1,1,5,1,1,5,4,1,1,2,4,1,5,1,1,5,5,2,2
11827,1,2,1,4,2,2,1,2,4,4,1,3,4,4,4,1,2,4,4,1,2
11828,2,4,4,4,3,1,1,4,4,4,1,5,4,1,4,1,1,5,5,4,2
11829,5,4,4,4,5,4,5,5,5,2,2,5,5,2,2,4,5,5,5,1,4
11830,3,2,3,1,3,4,4,2,5,2,1,2,4,1,2,1,2,1,1,1,3
11831,2,4,1,5,3,2,5,1,5,4,1,1,2,5,3,5,2,2,5,3,3
11832,1,4,2,5,1,4,2,4,5,2,2,4,1,2,2,4,1,4,5,1,3
11833,1,3,3,3,4,4,2,2,5,3,1,5,3,2,4,2,4,2,5,1,4
11834,3,4,5,3,4,4,2,2,5,3,4,5,2,3,4,1,1,4,5,2,4
11835,4,2,2,2,4,2,1,3,3,2,2,4,1,3,4,2,2,4,4,1,4
11836,3,4,2,4,3,1,1,4,4,4,2,4,4,2,4,2,1,4,3,2,2
11837,1,1,2,4,4,5,5,1,5,5,3,5,4,5,1,4,3,3,5,1,3
11838,2,2,3,4,1,2,2,2,5,4,2,2,1,2,2,1,2,2,5,1,3
11839,1,1,5,4,2,4,2,1,5,5,3,1,1,4,2,2,5,1,4,1,3
11840,1,1,5,1,5,1,1,5,5,2,1,1,1,3,2,5,5,4,5,1,4
11841,2,4,2,4,2,2,2,3,4,4,1,3,4,2,3,3,3,3,5,1,4
11842,4,2,2,2,2,1,2,3,5,4,2,5,3,3,2,2,2,4,5,2,4
11843,1,2,5,4,5,5,5,2,5,2,2,5,1,3,3,2,1,5,3,4,4
11844,1,1,1,4,1,4,2,1,5,5,1,3,1,3,1,1,1,1,1,1,3
