,Q1A,Q2A,Q3A,Q4A,Q5A,Q6A,Q7A,Q8A,Q9A,Q10A,Q11A,Q12A,Q13A,Q14A,Q15A,Q16A,Q17A,Q18A,Q19A,Q20A,Cluster
22206,5,4,3,2,4,1,1,4,3,2,1,4,3,2,3,1,3,3,5,1,1
16072,1,4,5,5,1,1,1,5,5,5,2,5,4,4,4,4,1,5,5,5,1
24167,5,5,1,1,5,1,1,5,1,1,1,5,5,1,5,1,5,5,5,5,1
1879,2,2,1,4,1,1,1,1,3,1,1,2,2,1,2,1,1,5,1,1,0
10784,2,1,2,1,5,2,4,5,5,3,1,2,5,1,5,2,1,5,5,1,1
42120,5,5,5,2,5,2,1,4,5,5,2,5,1,1,2,5,3,5,5,1,1
28347,4,3,3,1,4,4,1,5,4,3,1,5,4,1,5,4,1,4,5,5,1
62684,2,4,2,4,3,3,2,1,5,4,2,1,2,5,4,2,2,4,5,1,0
70232,1,5,5,1,4,4,2,5,5,3,1,5,1,1,5,3,4,3,5,1,1
50494,3,5,2,4,2,1,2,1,5,3,1,4,1,3,1,1,1,5,5,1,0
36075,5,4,3,1,5,1,1,4,2,1,1,5,4,1,5,1,1,5,5,4,1
60243,1,4,3,3,2,2,2,2,5,4,2,2,2,2,2,3,2,2,4,2,0
57213,3,2,4,1,3,4,2,1,5,5,2,2,1,3,2,4,2,1,3,1,0
9818,3,4,3,3,4,2,1,4,3,2,1,3,4,2,4,2,3,4,4,3,1
8788,2,4,1,2,4,1,1,4,1,1,1,4,4,2,4,1,1,4,5,4,1
30303,5,1,5,2,5,5,5,5,5,1,1,5,5,1,1,5,1,5,1,5,1
22297,4,5,2,3,5,1,1,2,1,1,1,5,5,1,5,3,1,5,5,1,1
12825,1,1,1,1,2,1,2,5,5,2,1,5,1,1,2,1,3,4,5,1,0
36210,3,4,2,1,5,2,2,4,2,3,1,3,4,2,4,2,2,5,4,3,1
72702,3,3,1,5,1,5,3,1,5,2,2,1,1,4,3,4,3,3,2,1,0
6366,1,1,5,4,1,5,2,1,5,5,5,2,1,3,3,5,4,3,4,1,0
55438,3,4,4,2,4,3,5,4,4,4,3,3,4,4,3,3,4,4,3,3,1
39631,5,1,2,1,3,1,2,5,1,5,1,4,5,3,5,1,1,5,3,5,1
31496,5,5,5,3,4,5,1,5,5,5,2,5,4,3,5,5,1,5,5,1,1
53209,2,3,3,5,4,4,3,2,5,5,1,2,2,1,5,5,2,5,5,1,0
24636,5,5,3,2,5,1,1,5,2,2,1,2,4,2,4,1,4,5,5,5,1
49624,1,5,5,3,4,5,3,3,5,3,1,2,4,3,1,3,2,2,4,1,0
13577,4,5,2,1,4,1,2,5,5,2,1,5,2,1,5,1,1,4,4,1,1
32621,5,4,2,2,5,3,1,4,2,2,1,3,2,1,4,2,3,5,5,2,1
24370,5,5,2,1,4,1,1,4,2,1,1,5,4,1,5,2,1,5,5,1,1
6350,5,5,3,2,5,1,1,5,2,5,1,5,5,1,5,1,1,5,5,4,1
36296,5,4,3,2,4,1,1,2,4,4,1,1,3,1,5,3,1,2,4,5,1
50385,5,4,2,4,2,1,1,4,1,2,1,5,5,4,4,2,2,5,4,4,1
57158,3,4,4,2,5,3,3,5,5,4,1,4,4,2,4,2,3,5,1,1,1
29651,1,2,5,5,3,5,4,2,5,2,2,1,4,5,4,5,1,1,5,1,0
56623,5,4,4,3,4,2,1,4,4,2,4,4,3,1,4,4,1,4,5,3,1
34216,1,1,5,5,5,5,5,1,5,4,2,1,1,4,1,2,1,1,1,1,0
35280,4,4,4,5,4,2,1,4,3,2,1,4,4,2,3,4,3,4,5,2,1
34631,5,3,1,1,5,1,1,4,1,2,1,5,3,1,4,1,2,4,4,4,1
16828,5,1,4,3,5,2,1,1,2,2,5,5,1,5,1,5,1,1,5,5,1
58994,5,3,4,1,3,4,1,2,5,2,2,5,4,1,1,1,1,2,5,1,1
28136,1,1,1,4,5,5,1,1,5,4,1,1,2,4,2,5,5,1,2,5,0
7863,4,5,5,5,5,2,1,4,5,5,1,5,5,1,5,2,3,5,4,1,1
68557,5,5,1,1,5,1,1,5,5,5,1,5,5,1,5,1,5,5,1,5,1
36577,4,5,2,1,3,4,2,2,3,2,1,4,4,2,5,3,5,4,5,1,1
52005,1,4,5,5,1,2,2,1,5,5,2,4,1,2,3,2,5,1,4,1,0
41168,4,5,2,1,4,2,2,4,5,2,4,5,3,2,5,2,5,4,5,1,1
63500,4,5,1,5,4,1,1,3,1,3,1,5,4,5,5,1,1,2,5,4,1
63202,4,4,4,1,5,4,1,5,3,4,1,5,4,2,5,5,1,5,5,2,1
25828,4,4,2,4,4,2,2,5,4,2,1,5,5,1,4,5,1,5,5,1,1
16084,4,3,1,4,5,4,1,4,5,2,3,3,1,1,2,1,5,4,4,4,1
50180,2,4,3,3,3,2,3,2,5,3,3,4,2,3,3,4,3,4,5,3,0
18627,1,1,4,3,1,4,2,1,5,5,1,1,1,3,1,2,1,1,5,1,0
21723,2,2,2,4,3,2,1,4,2,4,2,5,2,2,4,3,2,4,4,5,1
7730,5,4,2,2,4,1,2,5,3,4,2,5,5,3,4,1,4,4,5,4,1
22652,3,2,4,5,4,5,2,5,5,5,1,2,1,2,2,5,3,2,5,4,0
41379,4,4,2,1,4,1,2,2,4,2,1,4,4,2,4,3,3,5,5,1,1
10540,1,1,2,2,2,4,2,2,5,5,1,4,1,1,1,4,1,2,5,1,0
1118,5,5,1,2,5,1,2,5,2,1,1,5,5,3,5,1,5,5,5,5,1
41627,3,3,3,4,3,3,2,2,4,4,1,4,2,3,3,4,1,4,5,4,1
10720,3,4,4,1,3,3,3,4,5,4,1,4,5,2,4,2,3,3,5,3,1
54377,1,1,1,5,1,4,2,1,5,5,2,1,1,3,1,5,3,1,5,1,0
11535,3,1,5,4,1,5,5,1,5,5,2,1,1,3,1,1,3,1,1,1,0
65320,5,4,2,4,4,1,1,4,3,1,3,5,5,1,5,5,1,4,5,2,1
64477,4,3,5,1,2,2,1,4,5,4,2,5,4,1,5,1,1,5,5,1,1
4613,4,2,3,3,3,4,4,1,5,4,2,2,1,2,3,5,3,1,5,1,0
72128,5,5,4,4,5,1,1,4,3,3,1,5,4,3,3,1,2,5,5,2,1
24983,2,4,2,5,4,4,4,2,5,5,3,1,1,2,1,3,3,2,5,2,0
38353,3,2,5,3,3,4,5,3,5,5,2,2,3,3,3,4,1,3,4,1,0
60479,1,1,2,4,4,5,2,4,5,5,1,2,3,3,1,3,3,4,5,2,0
55371,5,5,2,2,4,3,2,5,2,1,3,5,5,1,5,1,5,1,4,1,1
70189,5,4,5,5,2,5,2,2,5,5,2,4,5,2,3,5,4,2,4,1,1
40459,4,5,1,1,4,4,2,4,3,4,2,5,3,1,4,2,5,4,5,4,1
7554,5,5,1,1,5,1,1,5,1,5,1,5,5,1,5,1,1,5,5,5,1
15149,5,5,3,4,5,1,3,4,4,4,1,4,5,2,5,2,2,2,5,5,1
70879,5,4,4,5,5,1,1,4,5,2,2,1,1,5,4,5,1,5,5,1,1
49042,5,5,3,1,5,3,1,5,1,1,1,5,5,1,5,3,3,5,5,4,1
6724,2,5,5,5,5,5,2,5,5,5,1,1,1,3,5,5,5,5,1,1,0
61972,5,5,1,1,5,1,1,5,1,1,1,5,5,1,5,1,1,5,5,1,1
22934,5,4,3,1,5,2,1,5,3,2,1,4,4,2,4,1,1,5,5,2,1
65688,1,3,5,3,1,3,3,4,5,3,3,4,1,3,1,1,2,3,5,1,0
53859,4,3,3,1,5,3,3,4,4,3,2,5,5,2,4,2,3,3,5,4,1
7220,4,4,2,4,2,2,2,2,4,3,1,5,4,1,2,1,4,4,3,5,1
12465,2,1,5,1,1,4,2,1,2,5,2,5,1,1,1,2,2,4,5,1,0
13581,5,4,4,4,4,1,1,4,4,3,1,5,5,1,4,4,1,2,5,1,1
60688,5,5,1,1,5,1,4,5,1,5,1,5,5,2,5,2,5,5,5,4,1
4057,3,3,1,3,5,2,1,5,3,3,1,5,1,2,4,1,5,2,5,4,1
25670,5,3,3,1,5,2,2,5,3,2,2,4,5,1,4,1,3,4,4,4,1
37686,3,4,2,4,4,2,2,1,3,2,1,5,4,2,4,4,2,3,4,4,1
59634,5,5,2,2,3,2,3,1,3,2,1,3,4,1,4,2,3,5,5,1,1
