,Q1A,Q2A,Q3A,Q4A,Q5A,Q6A,Q7A,Q8A,Q9A,Q10A,Q11A,Q12A,Q13A,Q14A,Q15A,Q16A,Q17A,Q18A,Q19A,Q20A
122,4,4,1,3,4,1,1,3,2,2,4,4,1,1,5,4,1,3,5,3
123,1,1,3,5,1,5,5,2,5,1,5,2,1,5,1,5,3,1,5,1
124,1,2,4,2,1,2,2,1,5,5,2,2,1,3,1,5,1,1,3,1
125,1,1,5,4,4,5,5,1,5,5,1,3,3,2,1,4,1,2,3,1
126,4,4,1,3,4,1,2,5,2,1,1,5,4,1,4,1,1,4,5,2
127,1,2,2,5,3,4,4,1,4,5,5,5,1,5,1,4,3,3,5,2
128,2,5,4,1,5,2,1,2,5,5,1,5,1,1,4,5,1,5,5,1
129,5,5,3,4,5,3,3,3,4,2,2,4,3,3,5,3,2,4,5,1
130,5,5,1,1,5,1,1,5,1,1,1,5,5,1,5,1,5,1,5,5
131,4,4,3,1,4,4,3,4,4,4,3,4,3,2,4,5,5,3,5,5
132,5,5,1,1,5,1,1,5,1,1,1,5,1,1,4,1,1,5,5,5
133,5,4,4,3,5,3,5,5,5,2,1,5,5,2,3,2,4,5,4,3
134,3,4,2,1,4,1,1,4,3,1,3,3,2,2,2,2,1,4,5,2
135,1,2,5,4,2,4,3,4,5,4,2,4,1,4,2,4,2,2,4,1
136,4,3,4,3,4,1,2,5,5,2,1,4,4,2,5,4,1,4,5,3
137,5,4,1,1,5,1,1,2,3,1,1,5,4,1,1,1,1,3,5,3
138,5,4,3,3,5,3,1,4,3,1,2,5,1,1,3,2,1,1,3,5
139,4,3,2,3,4,2,1,2,3,3,2,5,2,1,3,3,1,3,5,1
140,5,4,4,3,5,1,1,4,3,1,1,4,2,2,4,3,1,4,5,5
141,5,4,3,4,4,2,2,4,4,1,1,5,4,1,4,5,2,5,5,3
142,4,4,3,4,3,4,4,4,4,3,1,4,1,2,3,3,2,4,3,1
143,3,4,4,4,4,3,2,3,5,3,1,4,4,1,4,4,1,4,5,1
