,Q1A,Q2A,Q3A,Q4A,Q5A,Q6A,Q7A,Q8A,Q9A,Q10A,Q11A,Q12A,Q13A,Q14A,Q15A,Q16A,Q17A,Q18A,Q19A,Q20A
10925,4,5,2,1,5,1,1,2,3,1,1,5,5,1,5,1,1,5,5,4
71047,5,1,5,1,5,1,5,1,5,1,2,3,1,5,1,4,1,3,5,5
49330,1,1,1,1,1,1,1,1,5,3,1,5,5,1,1,1,1,2,5,4
31289,4,3,2,2,3,3,2,4,3,3,1,4,4,1,3,4,2,4,5,2
58080,5,2,4,2,4,2,2,4,4,4,2,5,4,1,4,2,1,4,5,1
18063,2,2,5,5,5,2,2,2,5,5,4,2,1,3,4,4,2,1,5,3
20692,5,4,2,1,5,3,2,4,2,2,1,5,4,2,5,2,1,5,5,1
56814,4,5,1,1,5,1,1,2,2,2,1,5,4,1,1,1,2,4,5,2
50007,5,2,1,1,5,1,1,5,2,1,1,4,4,1,5,1,1,5,5,4
56791,1,1,5,5,5,5,5,1,5,5,5,1,3,4,1,4,3,5,1,1
60868,5,5,5,1,5,1,1,3,2,2,1,5,4,2,4,1,1,5,5,1
39884,5,5,2,2,5,1,2,2,2,1,1,5,4,1,4,1,1,5,5,3
53699,4,4,3,4,5,3,2,3,5,4,2,4,4,5,4,4,3,4,4,2
48916,5,2,1,1,4,2,1,2,3,3,1,5,1,2,4,2,1,5,5,2
4469,5,5,1,1,4,1,1,5,3,1,1,1,4,1,5,1,1,5,5,4
51273,4,4,3,1,5,1,1,1,1,2,1,5,3,1,1,1,1,5,5,5
49876,1,1,2,2,1,4,4,1,4,5,1,2,1,2,3,2,2,1,2,1
45704,5,5,5,2,4,2,1,5,4,5,3,5,4,1,3,3,2,4,3,5
2212,4,4,3,2,5,3,1,4,3,4,1,2,1,2,4,1,1,4,2,2
35313,5,4,2,3,3,3,1,3,4,3,1,4,5,2,4,2,3,5,3,4
45552,2,3,1,3,4,1,2,3,2,2,2,4,3,1,5,1,1,5,4,4
61328,1,5,4,2,4,4,2,4,5,2,2,2,1,1,4,5,2,4,5,2
46105,1,4,5,1,4,4,2,2,5,5,2,4,2,2,2,2,2,2,4,2
35067,2,4,4,5,3,3,4,1,5,2,2,3,1,3,3,5,1,4,4,1
7481,4,4,4,3,1,2,4,4,3,4,2,5,2,4,2,2,3,3,5,3
24912,1,1,2,4,4,1,2,1,5,5,1,2,1,2,2,1,2,2,5,2
33992,1,1,5,5,1,5,5,4,5,5,5,1,1,5,1,5,1,1,3,1
42009,3,3,1,4,4,1,1,3,1,3,1,1,3,1,3,5,3,3,5,2
35387,4,1,2,3,2,5,5,1,5,5,1,4,1,2,3,5,2,1,5,1
41822,1,1,4,4,1,3,5,3,5,2,2,1,1,3,4,2,4,1,2,1
72668,2,3,4,5,2,3,1,1,5,4,3,1,2,3,3,5,3,2,4,3
70789,5,4,2,2,5,1,1,5,4,5,1,5,4,1,5,1,1,5,4,2
70016,3,3,1,3,1,4,1,3,4,5,1,4,5,1,2,1,2,4,5,4
1990,4,5,2,3,3,2,2,3,3,2,3,4,4,4,3,3,3,4,4,2
29183,4,5,2,2,3,2,2,4,4,2,1,3,4,3,4,1,2,3,4,2
65299,2,3,2,3,2,4,4,3,5,4,3,1,1,2,4,4,3,4,5,1
26137,3,5,1,1,3,1,1,5,1,1,1,4,2,1,4,1,4,4,5,3
72398,3,4,3,4,5,3,3,4,4,4,2,4,2,3,3,3,4,3,5,4
71543,4,5,5,5,4,3,3,1,5,5,1,5,5,5,1,3,1,1,5,3
18664,3,4,3,3,2,2,2,4,3,3,1,3,3,2,4,2,4,4,5,2
72114,2,2,2,4,2,2,1,2,4,2,1,2,1,2,2,4,2,4,4,2
56249,4,5,1,4,4,1,1,2,1,1,1,5,5,1,5,4,1,4,5,1
11540,5,5,1,1,5,1,1,5,2,1,1,5,5,2,5,1,1,4,4,5
7947,4,2,3,4,2,1,1,1,5,4,3,4,1,3,3,1,2,3,5,1
40387,5,3,4,2,4,3,2,5,5,1,1,3,4,1,5,4,2,5,5,3
41292,3,4,2,2,3,1,1,4,4,3,2,5,4,1,4,1,2,4,5,3
43866,5,4,1,1,5,1,1,5,2,2,1,5,4,2,5,1,2,4,5,5
45278,3,3,2,1,5,1,1,4,2,1,2,4,4,1,3,2,1,3,5,3
18120,4,4,5,2,4,2,2,3,5,5,3,3,1,1,4,4,2,2,4,1
65601,4,2,3,4,3,4,3,4,5,4,2,2,2,2,4,2,2,3,5,1
1090,5,3,1,1,4,1,1,1,2,2,2,5,5,1,4,1,3,2,5,2
2086,3,4,5,4,4,5,4,4,5,2,1,4,5,1,2,2,4,1,1,4
29687,4,5,1,4,2,1,1,4,1,1,1,3,2,2,5,4,3,5,5,1
51387,5,5,1,1,5,1,1,5,5,1,1,5,5,1,5,1,1,5,5,5
21267,2,2,4,4,2,4,3,1,5,5,3,2,1,4,3,4,1,3,4,2
