,Q1A,Q2A,Q3A,Q4A,Q5A,Q6A,Q7A,Q8A,Q9A,Q10A,Q11A,Q12A,Q13A,Q14A,Q15A,Q16A,Q17A,Q18A,Q19A,Q20A,Cluster
209,5,5,2,3,4,3,3,4,3,1,1,4,4,2,5,1,1,5,5,3,0
210,4,4,4,3,5,3,1,2,4,2,2,3,5,2,5,2,2,4,5,4,0
211,1,4,5,2,1,5,4,1,5,5,1,5,1,4,1,4,3,1,1,3,2
212,5,5,2,1,5,1,3,4,4,1,1,5,3,1,5,2,5,5,5,5,0
213,5,4,2,3,4,1,1,3,1,1,1,4,4,1,4,1,1,4,5,5,0
214,1,4,1,3,4,1,1,4,5,4,2,1,4,3,4,1,3,5,5,2,3
215,5,2,1,3,3,1,1,3,3,3,1,5,1,3,3,5,1,2,5,5,3
216,4,4,2,1,5,2,2,2,4,1,2,4,4,1,4,4,1,3,5,5,0
217,5,5,5,4,4,4,4,5,4,2,1,1,1,1,5,5,5,5,5,1,1
218,4,4,3,4,4,1,1,3,3,4,1,2,2,3,1,2,1,4,5,2,3
219,1,3,5,4,2,4,2,1,5,4,1,1,4,3,3,5,1,1,4,1,2
220,2,1,4,5,2,5,4,1,5,4,3,1,2,5,3,5,2,2,4,1,2
221,1,4,5,5,1,2,4,1,5,5,1,2,1,2,1,2,1,3,5,3,2
222,1,1,4,5,1,2,2,1,5,5,4,1,1,3,1,1,2,1,5,1,2
223,2,1,4,3,5,2,2,2,5,5,1,5,1,1,3,1,1,1,4,1,3
224,4,1,1,4,5,2,1,2,4,4,1,5,4,1,4,4,1,5,5,1,3
225,5,2,2,5,5,2,2,1,5,2,1,5,4,1,4,5,5,1,5,1,3
226,2,4,2,4,3,2,2,2,4,2,2,4,2,2,4,2,2,2,5,2,3
227,2,1,3,4,4,4,2,2,5,4,1,2,4,1,2,3,4,4,5,1,2
228,4,4,1,3,4,1,1,2,2,1,1,5,4,1,5,1,1,4,5,4,0
229,5,4,2,1,5,2,3,4,4,2,1,4,2,1,2,1,3,5,5,2,0
230,1,1,5,5,1,5,4,1,5,5,1,1,1,2,1,1,5,2,2,1,2
231,2,4,4,4,4,2,2,4,4,2,1,4,2,3,3,2,2,4,4,1,3
