,Q1A,Q2A,Q3A,Q4A,Q5A,Q6A,Q7A,Q8A,Q9A,Q10A,Q11A,Q12A,Q13A,Q14A,Q15A,Q16A,Q17A,Q18A,Q19A,Q20A,Cluster
39237,2,4,1,5,4,2,2,4,4,3,2,5,4,3,1,1,1,4,5,1,0
38483,3,4,2,2,5,1,2,5,2,4,1,4,1,4,2,4,1,5,5,1,0
12681,5,1,2,4,5,4,2,2,4,2,3,5,4,2,3,4,2,4,5,1,1
63481,4,4,4,2,1,4,5,2,4,2,1,2,1,1,4,5,1,4,5,1,1
25304,2,3,4,2,2,4,3,2,5,4,1,2,2,2,3,1,3,4,5,1,1
48817,5,4,4,2,4,2,2,5,1,2,1,5,3,2,4,1,1,4,3,3,0
5610,5,5,5,1,1,1,1,5,5,1,1,5,2,2,5,2,3,4,5,2,0
50728,1,4,4,4,5,4,4,3,5,4,1,5,5,2,3,3,2,4,5,1,1
69147,2,1,1,4,1,2,1,5,5,4,1,1,1,1,3,2,3,5,5,4,1
29597,3,2,3,5,4,4,3,4,5,5,3,2,1,4,3,5,5,3,4,2,1
32500,4,2,4,4,2,4,2,2,5,4,2,5,1,2,3,4,2,4,1,1,1
44745,4,4,3,4,5,2,2,3,2,2,1,5,5,3,4,4,2,3,4,3,0
41831,2,2,2,4,4,5,5,4,5,5,4,4,4,1,2,5,4,3,1,1,1
47655,4,3,1,2,5,2,2,2,4,2,1,5,2,2,4,1,1,5,5,1,0
51951,5,1,5,5,5,4,4,1,5,4,1,5,5,2,1,4,1,5,5,5,1
30630,2,4,2,2,5,2,2,2,4,2,2,3,1,3,4,2,4,2,4,1,1
30998,2,2,4,2,1,5,3,1,5,4,2,4,1,4,2,4,4,1,3,1,1
11968,1,3,2,4,1,2,1,2,5,4,1,2,1,2,4,5,5,5,3,2,1
64666,5,4,2,4,4,1,1,2,5,1,1,4,4,1,5,3,1,4,5,1,0
13022,3,2,3,4,2,3,2,1,5,5,1,2,1,4,3,5,2,3,5,1,1
61302,4,2,4,4,2,5,2,3,5,2,5,4,4,4,4,2,4,1,5,1,1
21992,4,4,1,4,4,4,2,3,4,4,4,4,5,2,4,3,1,2,5,3,0
57602,5,2,2,2,4,2,5,1,5,2,1,5,1,4,2,1,5,4,5,1,1
15424,1,1,1,4,1,1,1,4,5,3,2,5,1,5,2,5,1,2,5,1,1
3136,5,4,1,5,2,3,1,1,3,2,1,4,3,1,1,3,3,4,5,1,0
9501,5,5,5,1,5,1,1,5,1,1,1,5,5,1,5,5,1,5,5,5,0
24205,4,5,2,3,2,2,1,5,5,4,1,1,1,1,4,2,2,5,5,1,0
46366,3,2,3,3,3,2,2,1,4,3,1,4,4,3,3,3,2,3,2,3,1
54534,5,5,4,2,5,5,4,5,5,5,5,2,4,3,1,5,2,5,4,5,1
54969,5,5,2,3,5,2,1,5,2,1,1,5,5,1,4,2,1,4,5,5,0
30089,1,1,5,2,1,5,2,1,5,5,2,1,1,3,2,5,3,1,5,1,1
62903,5,5,1,1,3,1,1,5,1,1,1,5,5,1,5,1,3,5,5,2,0
23965,5,5,2,1,5,2,1,1,3,2,1,4,2,1,5,1,1,4,4,1,0
14095,2,2,2,2,4,1,1,4,4,4,2,4,4,3,4,2,1,4,4,1,0
24836,5,5,1,1,5,1,1,5,3,1,1,5,5,1,5,1,4,5,3,1,0
12928,2,1,3,1,3,5,5,2,5,4,3,4,1,1,2,2,3,2,3,4,1
53384,1,3,2,4,1,1,2,3,5,3,1,1,1,2,4,3,2,1,4,1,1
68273,3,5,5,1,1,4,4,3,5,4,1,4,3,1,3,4,1,1,5,1,1
23718,4,1,5,1,5,1,1,4,5,4,4,5,2,2,4,4,4,4,5,2,1
72878,1,1,3,5,4,4,1,1,4,5,1,1,2,2,4,3,1,4,5,1,1
73402,1,1,3,5,5,4,2,4,5,5,5,1,1,1,4,3,5,3,5,1,1
19619,1,3,4,2,1,2,2,1,5,5,2,5,4,3,4,1,1,4,5,1,1
14355,5,5,1,1,5,5,5,5,5,1,1,5,5,1,5,1,1,5,1,5,0
35654,2,5,1,3,5,1,1,1,3,2,1,5,4,1,2,1,1,5,5,1,0
53167,3,5,2,4,3,2,1,1,2,5,1,3,5,1,4,1,5,5,5,3,0
4496,3,4,3,3,3,4,4,4,5,5,3,4,3,2,4,2,2,4,4,3,1
67317,4,4,1,2,4,1,1,4,3,3,1,4,3,1,4,2,2,4,5,2,0
12351,4,4,1,1,5,1,2,5,5,5,1,5,5,1,4,1,1,5,5,4,0
16039,2,2,4,4,1,5,5,1,5,5,4,1,1,2,2,3,4,1,5,2,1
24350,5,5,2,3,5,2,1,4,2,1,2,4,5,2,3,2,1,5,5,2,0
48664,2,1,4,5,2,3,2,2,5,4,3,2,2,4,3,3,4,2,2,2,1
21616,4,4,2,3,2,2,2,1,1,3,2,2,2,2,5,4,1,3,5,4,0
65675,4,5,2,3,5,3,2,4,3,4,1,5,5,2,4,2,1,5,5,4,0
9222,2,2,4,2,1,4,4,1,5,5,1,4,1,1,4,3,1,4,5,3,1
61233,3,4,2,2,4,2,1,2,4,2,2,4,4,2,5,2,3,3,3,1,0
30731,4,5,3,3,5,2,2,4,3,5,2,4,5,1,5,3,4,4,5,4,0
36702,5,5,1,4,3,1,1,5,1,4,1,5,5,1,5,5,1,4,5,3,0
